index_symbol,security_id,dj_id,name,isin,sedol,ric,currency,icb_sectorl1,icb_sectorl3,bbg_ticker,infocode,vol,vol_rank,geogra_area,was_in_prev_selection,is_selected,rejection_reason
SXLV1E,20293,453456,KPN,NL0000009082,5956078,KPN.AS,EUR,15,151020,KPN NA Equity,3159,0.131224627,1,NL,Y,Y,
SXLV1E,20513,407023,DANONE,FR0000120644,B1Y9TB3,DANO.PA,EUR,45,451020,BN FP Equity,46462,0.132616405,2,FR,Y,Y,
SXLV1E,20514,439155,GRP BRUXELLES LAMBERT,BE0003797140,7097328,GBLB.BR,EUR,30,302020,GBLB BB Equity,47081,0.140129061,3,BE,Y,Y,
SXLV1E,20311,556582,KLEPIERRE,FR0000121964,7582556,LOIM.PA,EUR,35,351020,LI FP Equity,41285,0.152114009,4,FR,Y,Y,
SXLV1E,21075,401632,ALLIANZ,DE0008404005,5231485,ALVG.DE,EUR,30,303020,ALV GY Equity,46597,0.153064065,5,DE,Y,Y,
SXLV1E,20437,442464,IBERDROLA,ES0144580Y14,B288C92,IBE.MC,EUR,65,651010,IBE SQ Equity,52457,0.154274053,6,ES,Y,Y,
SXLV1E,20731,702196,DEUTSCHE BOERSE,DE0005810055,7021963,DB1Gn.DE,EUR,30,302020,DB1 GY Equity,615,0.15492496,7,DE,Y,Y,
SXLV1E,20727,511938,DEUTSCHE TELEKOM,DE0005557508,5842359,DTEGn.DE,EUR,15,151020,DTE GY Equity,43614,0.157169125,8,DE,Y,Y,
SXLV1E,19669,B01BN5,TERNA,IT0003242622,B01BN57,TRN.MI,EUR,65,651010,TRN IM Equity,19069,0.158303226,9,IT,Y,Y,
SXLV1E,20579,517617,ORANGE,FR0000133308,5176177,ORAN.PA,EUR,15,151020,ORA FP Equity,43868,0.159739175,10,FR,Y,Y,
SXLV1E,21098,401140,AIR LIQUIDE,FR0000120073,B1YXBJ7,AIRP.PA,EUR,55,552010,AI FP Equity,46769,0.161406242,11,FR,Y,Y,
SXLV1E,21104,401093,AHOLD DELHAIZE,NL0011794037,BD0Q398,AD.AS,EUR,45,452010,AD NA Equity,46598,0.163214797,12,NL,Y,Y,
SXLV1E,20512,EF024,Getlink,FR0010533075,B292JQ9,GETP.PA,EUR,50,502060,GET FP Equity,137702,0.164355022,13,FR,Y,Y,
SXLV1E,19881,477319,SAMPO,FI4000552500,BMXX645,SAMPO.HE,EUR,30,303020,SAMPO FH Equity,40945,0.164618816,14,FI,Y,Y,
SXLV1E,20929,408930,BEIERSDORF,DE0005200000,5107401,BEIG.DE,EUR,45,452010,BEI GY Equity,46898,0.164672851,15,DE,Y,Y,
SXLV1E,20471,442031,HENKEL PREF,DE0006048432,5076705,HNKG_p.DE,EUR,40,402020,HEN3 GY Equity,39966,0.164683154,16,DE,Y,Y,
SXLV1E,19946,672716,Redeia Corporacion,ES0173093024,BD6FXN3,REDE.MC,EUR,65,651010,RED SQ Equity,36403,0.165091745,17,ES,Y,Y,
