valid_from;valid_to;index_symbol;dj_id;size;description;not_rep_before
20250324;99991231;SXXFLVE;453456;Y;;
20250324;99991231;SXXFLVE;407023;Y;;
20250324;99991231;SXXFLVE;442464;Y;;
20250324;99991231;SXXFLVE;511938;Y;;
20250324;99991231;SXXFLVE;B01BN5;Y;;
20250324;99991231;SXXFLVE;517617;Y;;
20250324;99991231;SXXFLVE;401140;Y;;
20250324;99991231;SXXFLVE;401093;Y;;
20250324;99991231;SXXFLVE;EF024;Y;;
20250324;99991231;SXXFLVE;408930;Y;;
20250324;99991231;SXXFLVE;442031;Y;;
20250324;99991231;SXXFLVE;672716;Y;;
20250324;99991231;SXXFLVE;488082;Y;;
20250324;99991231;SXXFLVE;B0C2CQ;Y;;
20250324;99991231;SXXFLVE;725147;Y;;
20250324;99991231;SXXFLVE;579802;Y;;
20250324;99991231;SXXFLVE;755087;Y;;
20250324;99991231;SXXFLVE;443639;Y;;
20250324;99991231;SXXFLVE;IT506M;Y;;
20250324;99991231;SXXFLVE;477518;Y;;
20250324;99991231;SXXFLVE;458260;Y;;
20250324;99991231;SXXFLVE;ES504F;Y;;
20250324;99991231;SXXFLVE;570151;Y;;
20250324;99991231;SXXFLVE;DE50B7;Y;;
20250324;99991231;SXXFLVE;411515;Y;;
20250324;99991231;SXXFLVE;IT607O;Y;;
20250324;99991231;SXXFLVE;457270;Y;;
20250324;99991231;SXXFLVE;049065;Y;;
20250324;99991231;SXXFLVE;563828;Y;;
20250324;99991231;SXXFLVE;449667;Y;;
20250324;99991231;SXXFLVE;533338;Y;;
20250324;99991231;SXXFLVE;EF2;Y;;
20250324;99991231;SXXFLVE;490541;Y;;
20250324;99991231;SXXFLVE;B1JB4K;Y;;
20250324;99991231;SXXFLVE;481808;Y;;
20250324;99991231;SXXFLVE;759800;Y;;
20250324;99991231;SXXFLVE;431536;Y;;
20250324;99991231;SXXFLVE;B03851;Y;;
20250324;99991231;SXXFLVE;430376;Y;;
20250324;99991231;SXXFLVE;582300;Y;;
20250324;99991231;SXXFLVE;458836;Y;;
20250324;99991231;SXXFLVE;576920;Y;;
20250324;99991231;SXXFLVE;473322;Y;;
20250324;99991231;SXXFLVE;492752;Y;;
20250324;99991231;SXXFLVE;573282;Y;;
20250324;99991231;SXXFLVE;497711;Y;;
20250324;99991231;SXXFLVE;B28DTJ;Y;;
20250324;99991231;SXXFLVE;476776;Y;;
20250324;99991231;SXXFLVE;DE305Z;Y;;
20250324;99991231;SXXFLVE;435209;Y;;
20250324;99991231;SXXFLVE;ES0017;Y;;
20250324;99991231;SXXFLVE;470774;Y;;
20250324;99991231;SXXFLVE;738307;Y;;
20250324;99991231;SXXFLVE;465145;Y;;
20250324;99991231;SXXFLVE;DE8087;Y;;
20250324;99991231;SXXFLVE;411232;Y;;
20250324;99991231;SXXFLVE;449000;Y;;
20250324;99991231;SXXFLVE;936469;Y;;
20250324;99991231;SXXFLVE;549913;Y;;
20250324;99991231;SXXFLVE;465975;Y;;
20250324;99991231;SXXFLVE;475531;Y;;
20250324;99991231;SXXFLVE;FR90GV;Y;;
20250324;99991231;SXXFLVE;476361;Y;;
20250324;99991231;SXXFLVE;441920;Y;;
20250324;99991231;SXXFLVE;B01MJR;Y;;
20250324;99991231;SXXFLVE;453478;Y;;
20250324;99991231;SXXFLVE;424910;Y;;
20250324;99991231;SXXFLVE;461785;Y;;
20250324;99991231;SXXFLVE;711131;Y;;
20250324;99991231;SXXFLVE;DE80DC;Y;;
20250324;99991231;SXXFLVE;705339;Y;;
20250324;99991231;SXXFLVE;481830;Y;;
20250324;99991231;SXXFLVE;505125;Y;;
20250324;99991231;SXXFLVE;444747;Y;;
20250324;99991231;SXXFLVE;B0R7JF;Y;;
20250324;99991231;SXXFLVE;469678;Y;;
20250324;99991231;SXXFLVE;BE601W;Y;;
20250324;99991231;SXXFLVE;435435;Y;;
20250324;99991231;SXXFLVE;442990;Y;;
20250324;99991231;SXXFLVE;417754;Y;;
20250324;99991231;SXXFLVE;474184;Y;;
20250324;99991231;SXXFLVE;441930;Y;;
20250324;99991231;SXXFLVE;401225;Y;;
20250324;99991231;SXXFLVE;468232;Y;;
20250324;99991231;SXXFLVE;401190;Y;;
20250324;99991231;SXXFLVE;B09DHL;Y;;
20250324;99991231;SXXFLVE;462220;Y;;
20250324;99991231;SXXFLVE;533004;Y;;
20250324;99991231;SXXFLVE;491062;Y;;
20250324;99991231;SXXFLVE;FR504F;Y;;
20250324;99991231;SXXFLVE;557955;Y;;
20250324;99991231;SXXFLVE;476837;Y;;
20250324;99991231;SXXFLVE;425240;Y;;
20250324;99991231;SXXFLVE;753851;Y;;
20250324;99991231;SXXFLVE;EG7;Y;;
20250324;99991231;SXXFLVE;B234WN;Y;;
20250324;99991231;SXXFLVE;ES406G;Y;;
20250324;99991231;SXXFLVE;B164FY;Y;;
20250324;99991231;SXXFLVE;472370;Y;;
20250324;99991231;SXXFLVE;IT509P;Y;;
