valid_from;valid_to;index_symbol;dj_id;weightfactor;capfactor;description;not_rep_before
20250324;99991231;SXXFLVE;453456;385725421;1;;
20250324;99991231;SXXFLVE;407023;20401857;1;;
20250324;99991231;SXXFLVE;442464;89120315;1;;
20250324;99991231;SXXFLVE;511938;35977269;1;;
20250324;99991231;SXXFLVE;B01BN5;152330612;1;;
20250324;99991231;SXXFLVE;517617;100997542;1;;
20250324;99991231;SXXFLVE;401140;6606758;1;;
20250324;99991231;SXXFLVE;401093;34491603;1;;
20250324;99991231;SXXFLVE;EF024;75533028;1;;
20250324;99991231;SXXFLVE;408930;8680101;1;;
20250324;99991231;SXXFLVE;442031;15420974;1;;
20250324;99991231;SXXFLVE;672716;66248158;1;;
20250324;99991231;SXXFLVE;488082;266367050;1;;
20250324;99991231;SXXFLVE;B0C2CQ;66556297;1;;
20250324;99991231;SXXFLVE;725147;248038628;1;;
20250324;99991231;SXXFLVE;579802;160740487;1;;
20250324;99991231;SXXFLVE;755087;5688074;1;;
20250324;99991231;SXXFLVE;443639;80265848;1;;
20250324;99991231;SXXFLVE;IT506M;115111012;1;;
20250324;99991231;SXXFLVE;477518;10293251;1;;
20250324;99991231;SXXFLVE;458260;19078573;1;;
20250324;99991231;SXXFLVE;ES504F;5037265;1;;
20250324;99991231;SXXFLVE;570151;22821056;1;;
20250324;99991231;SXXFLVE;DE50B7;11266265;1;;
20250324;99991231;SXXFLVE;411515;29572327;1;;
20250324;99991231;SXXFLVE;IT607O;169494890;1;;
20250324;99991231;SXXFLVE;457270;179111613;1;;
20250324;99991231;SXXFLVE;049065;10951467;1;;
20250324;99991231;SXXFLVE;563828;16895719;1;;
20250324;99991231;SXXFLVE;449667;19265167;1;;
20250324;99991231;SXXFLVE;533338;19115831;1;;
20250324;99991231;SXXFLVE;EF2;33401715;1;;
20250324;99991231;SXXFLVE;490541;17763471;1;;
20250324;99991231;SXXFLVE;B1JB4K;10715058;1;;
20250324;99991231;SXXFLVE;481808;8500422;1;;
20250324;99991231;SXXFLVE;759800;258391786;1;;
20250324;99991231;SXXFLVE;431536;44519751;1;;
20250324;99991231;SXXFLVE;B03851;24687571;1;;
20250324;99991231;SXXFLVE;430376;3732601;1;;
20250324;99991231;SXXFLVE;582300;28342077;1;;
20250324;99991231;SXXFLVE;458836;28760036;1;;
20250324;99991231;SXXFLVE;576920;21211674;1;;
20250324;99991231;SXXFLVE;473322;83223710;1;;
20250324;99991231;SXXFLVE;492752;74237989;1;;
20250324;99991231;SXXFLVE;573282;26581070;1;;
20250324;99991231;SXXFLVE;497711;6843541;1;;
20250324;99991231;SXXFLVE;B28DTJ;34203662;1;;
20250324;99991231;SXXFLVE;476776;3757406;1;;
20250324;99991231;SXXFLVE;DE305Z;43573666;1;;
20250324;99991231;SXXFLVE;435209;23376511;1;;
20250324;99991231;SXXFLVE;ES0017;13331461;1;;
20250324;99991231;SXXFLVE;470774;10065500;1;;
20250324;99991231;SXXFLVE;738307;70001133;1;;
20250324;99991231;SXXFLVE;465145;20428876;1;;
