compositionDate,securityDate,inputCurrency,stoxxid,securityName,isin,sedol,currency,icb5_l1,icb5_l2,icb5_l3,icb5_l4,country,BBGTicker,shareClass,RIC,RICExtension,parentStoxxId,countryOfIncorporation,ISO2CountryDom,exchangeName,isoCountryCode,countryCode,mappedRegions,isoMicCode,closePrice,adjustedOpenPrice,adjustedOpenGross,adjustedOpenNet,adjustmentFactor,fxLocUsed,isStockConnectSecurity,Foreign Ownership Limit,Foreign Holding,Foreign Headroom,FreeFloat,shares,ffmcap,size,index_weight_close,index_weight_open,ADTV_3m_USD,ADTV_3m_EUR,ADTV_6m_USD,ADTV_6m_EUR,ADTV_9m_USD,ADTV_9m_EUR,ADTV_12m_USD,ADTV_12m_EUR,orgPermId,comName,typeCode,description,ultimateParentOrgPermID,ultimateParentName,ultimateParentTypeCode,ultimateParentTypeDescription,axiomaId,composition_date,Unnamed: 0,reportDate,dj_id,icb_sectorl1,icb_sectorl3,vol,is_selected,inverse,inverse_vol,exclusion,exclusion_reason,Step 1 icb_sectorl1 exclusion,Step 2 vol exclusion,Step 2 top 100 by vol asc final rank,divide_inverse_vol,weight,capped_weight,cap_limit,cap_factor,weight_factor,Step 1 icb5_l1 exclusion,Step 2 icb5_l3 exclusion,Step 3 vol exclusion,Step 3 top 100 by vol asc final rank
20190318,20190318,EUR,B011JK,GEMALTO,NL0000400653,B9MS8P5,EUR,95,9537,,,NL,,,GTO.AS,AS,,NL,NL,,,NL,"{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'}",,51.02,51.02,51.02,51.02,,1,FALSE,1,0.9638,0.0362,0.8582,90920356,3980980882,,,,10899399,9599154.736,11766264.88,10333592.54,12338150.99,10749233.94,13720628.92,11805731.4,4295884983,Gemalto BV,COM,Business Organization,4295866846,Thales SA,COM,Business Organization,MV6UDR6M9,3/18/2019,4,3/4/2019,B011JK,9000,9530,0.031813146,Y,1,31.43354591,FALSE,,FALSE,FALSE,1,31.43354591,0.0590508,0.0590508,0.1,1,1157404.947,,,,
20190318,20190318,EUR,439830,MAN,DE0005937007,5563520,EUR,27,2753,,,DE,,,MANG.DE,DE,,DE,DE,XETRA,DE,DE,"{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'}",XETR,76.45,76.45,76.45,76.45,,1,FALSE,1,0,1,0.1297,140974350,1397840331,,,,8164847.8,7193986.404,15348035.6,13469717.33,13902228.53,12131968.31,12897811.35,11179914.62,4295869228,Man Se,COM,Business Organization,4295869228,Man Se,COM,Business Organization,3RRTR2XW7,3/18/2019,14,3/4/2019,439830,2000,2750,0.077861754,Y,1,12.84327602,FALSE,,FALSE,FALSE,2,12.84327602,0.024127273,0.024127273,0.1,1,315595.4549,,,,
20190318,20190318,EUR,DE80DC,KNORR BREMSE,DE000KBX1006,BD2P9X9,EUR,33,3355,,,DE,,,KBX.DE,DE,,DE,DE,XETRA,DE,DE,"{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'}",XETR,85.87,85.87,85.87,85.87,,1,FALSE,1,0,1,0.2984,161200000,4130525610,,,,14399445.9,12684964.85,16665210.85,14579793.28,10963954.5,9591969.265,8233799.825,7203455.179,4295869167,Knorr Bremse AG,COM,Business Organization,4296078746,Stella Vermoegensverwaltungs GmbH,COM,Business Organization,X4JG31UP8,3/18/2019,43,3/4/2019,DE80DC,3000,3350,0.143714287,Y,1,6.958250437,FALSE,,FALSE,FALSE,3,6.958250437,0.013071712,0.013071712,0.1,1,152226.7608,,,,
20190318,20190318,EUR,DE6041,INNOGY,DE000A2AADD2,BDCFZS6,EUR,75,7575,,,DE,,,IGY.DE,DE,,DE,DE,XETRA,DE,DE,"{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'}",XETR,41.1,41.1,41.1,41.1,,1,FALSE,1,0,1,0.1379,555555000,3148713518,,,,9548551.911,8400480.544,13841902.94,12152868.38,15947147.02,13869233.76,17990469.03,15441000.33,5064618963,EON Verwaltungs GmbH,COM,Business Organization,5057957727,E ON SE,COM,Business Organization,N8SF3W291,3/18/2019,52,3/4/2019,DE6041,7000,7570,0.150681988,Y,1,6.636493255,FALSE,,FALSE,FALSE,4,6.636493255,0.012467262,0.012467262,0.1,1,303339.6973,,,,
20190318,20190318,EUR,517617,ORANGE,FR0000133308,5176177,EUR,65,6535,,,FR,,,ORAN.PA,PA,,FR,FR,Euronext Paris,FR,FR,"{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'}",XPAR,14.155,14.155,14.155,14.155,,1,FALSE,1,0,1,0.7705,2660056599,29011714443,,,,106135755.2,93452086.34,118789822.4,104374309,108940044.2,95120106.41,109817178.8,94993709.95,4295868416,Orange SA,COM,Business Organization,4295868416,Orange SA,COM,Business Organization,B31231481,3/18/2019,63,3/4/2019,517617,6000,6530,0.151753622,Y,1,6.589628563,FALSE,,FALSE,FALSE,5,6.589628563,0.012379222,0.012379222,0.1,1,874547.6465,,,,
20190318,20190318,EUR,491207,UNILEVER NV,NL0000009355,B12T3J1,EUR,37,3767,,,NL,,,UNc.AS,AS,,NL,NL,,,NL,"{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'}",,50.51,50.51,50.51,50.51,,1,FALSE,1,0,1,0.8484,1714727700,73480684274,,,,207799640.5,182969862,221944816.7,194914762.5,214733661.3,187307297.2,221689121.8,191490000.6,4295884772,Unilever NV,COM,Business Organization,4295884772,Unilever NV,COM,Business Organization,4WLZW9HN4,3/18/2019,72,3/4/2019,491207,3000,3760,0.154430937,Y,1,6.475386478,FALSE,,FALSE,FALSE,6,6.475386478,0.012164608,0.012164608,0.1,1,240835.6305,,,,
20190318,20190318,EUR,442464,IBERDROLA,ES0144580Y14,B288C92,EUR,75,7535,,,ES,,,IBE.MC,MC,,ES,ES,Madrid Stock Exchange,ES,ES,"{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'}",XMAD,7.672,7.672,7.672,7.672,,1,FALSE,1,0.0849,0.9151,0.9143,6520457000,45737808223,,,,110670345.6,97462593.49,106097578.6,93236151.42,103639769.7,90418694.9,102292721.4,88517669.54,4295889602,Iberdrola SA,COM,Business Organization,4295889602,Iberdrola SA,COM,Business Organization,6KV226XP6,3/18/2019,102,3/4/2019,442464,7000,7530,0.15645199,Y,1,6.391737157,FALSE,,FALSE,FALSE,7,6.391737157,0.012007465,0.012007465,0.1,1,1565102.29,,,,
20190318,20190318,EUR,511938,DEUTSCHE TELEKOM,DE0005557508,5842359,EUR,65,6575,,,DE,,,DTEGn.DE,DE,,DE,DE,XETRA,DE,DE,"{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'}",XETR,15.46,15.46,15.46,15.46,,1,FALSE,1,0,1,0.6811,4761458596,50137235293,,,,202978784.1,178753213,212701308,186855727.5,196030864,171146000.3,203731658.8,175979115.6,4295870332,Deutsche Telekom AG,COM,Business Organization,4295870332,Deutsche Telekom AG,COM,Business Organization,ALNUUGTM5,3/18/2019,113,3/4/2019,511938,6000,6570,0.157567644,Y,1,6.346480611,FALSE,,FALSE,FALSE,8,6.346480611,0.011922446,0.011922446,0.1,1,771180.2197,,,,
20190318,20190318,EUR,430376,ESSILORLUXOTTICA,FR0000121667,7212477,EUR,45,4537,,,FR,,,ESLX.PA,PA,,FR,FR,Euronext Paris,FR,FR,"{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'}",XPAR,106.4,106.4,106.4,106.4,,1,FALSE,1,0.3274,0.6726,0.6724,433379900,31005454202,,,,105218541.1,92685325.61,116713987.5,102569510.1,102698184.4,89746269.28,94432062.18,81968105.01,4295867261,EssilorLuxottica SA,COM,Business Organization,4295867261,EssilorLuxottica SA,COM,Business Organization,U6MGPTWJ9,3/18/2019,163,3/4/2019,430376,4000,4530,0.160524618,Y,1,6.229574079,FALSE,,FALSE,FALSE,9,6.229574079,0.011702827,0.011702827,0.1,1,109988.9713,,,,
20190318,20190318,EUR,407023,DANONE,FR0000120644,B1Y9TB3,EUR,35,3577,,,FR,,,DANO.PA,PA,,FR,FR,Euronext Paris,FR,FR,"{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'}",XPAR,69.05,69.05,69.05,69.05,,1,FALSE,1,0.1336,0.8664,0.94,685055200,44464877866,,,,107828147.1,94999289.4,119598495.3,105054424.5,117550519,102515059.4,120221065,103824603.4,4295867387,Danone SA,COM,Business Organization,4295867387,Danone SA,COM,Business Organization,S6BV2GX61,3/18/2019,183,3/4/2019,407023,3000,3570,0.161886888,Y,1,6.177152517,FALSE,,FALSE,FALSE,10,6.177152517,0.011604348,0.011604348,0.1,1,168057.1735,,,,
