compositionDate;securityDate;inputCurrency;stoxxid;securityName;isin;sedol;currency;icb5_l1;icb5_l2;icb5_l3;icb5_l4;country;BBGTicker;shareClass;RIC;RICExtension;parentStoxxId;countryOfIncorporation;ISO2CountryDom;exchangeName;isoCountryCode;countryCode;mappedRegions;isoMicCode;closePrice;adjustedOpenPrice;adjustedOpenGross;adjustedOpenNet;adjustmentFactor;fxLocUsed;isStockConnectSecurity;Foreign Ownership Limit;Foreign Holding;Foreign Headroom;FreeFloat;shares;ffmcap;size;index_weight_close;index_weight_open;ADTV_3m_USD;ADTV_3m_EUR;ADTV_6m_USD;ADTV_6m_EUR;ADTV_9m_USD;ADTV_9m_EUR;ADTV_12m_USD;ADTV_12m_EUR;orgPermId;comName;typeCode;description;ultimateParentOrgPermID;ultimateParentName;ultimateParentTypeCode;ultimateParentTypeDescription;axiomaId;composition_date;Unnamed: 0;reportDate;dj_id;vol;inverse;inverse_vol
20241223;20241223;EUR;001978;AIB GROUP;IE00BF0L3536;BF0L353;EUR;30;3010;301010;30101010;IE;;;AIBG.I1;I1;;IE;IE;;;IE;{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'};;5.16;5.16;5.16;5.16;;1.0;False;1.0;0.0;1.0;0.8002;2328438575;9614197386;;0.0018327;0.0017342;20060570.4419682;18775584.0238151;24071055.2514029;22138394.6151797;26154911.972780302;24138276.0251395;24258007.7383827;22376977.693503;5059082241;AIB Group PLC;COM;Business Organization;5059082241;AIB Group PLC;COM;Business Organization;BVB61TCJ7;2024-12-23;1749;2024-12-05;001978;0.292226383708505;1;3.4220044997630916
20241223;20241223;EUR;007560;BANK OF IRELAND GROUP;IE00BD1RP616;BD1RP61;EUR;30;3010;301010;30101010;IE;;;BIRG.I1;I1;;IE;IE;;;IE;{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'};;8.666;8.666;8.666;8.666;;1.0;False;1.0;0.0;1.0;0.9494;1003409101;8255548780;;0.0015428;0.0015496;19219067.5966049;17962642.4195814;19845264.6439334;18297841.1358053;22498824.6719286;20810768.4260047;22526739.4232377;20815209.5766908;5056415510;Bank of Ireland Group PLC;COM;Business Organization;5056415510;Bank of Ireland Group PLC;COM;Business Organization;9PJZMVLL8;2024-12-23;2077;2024-12-05;007560;0.333338951416554;1;2.999949438103197
20241223;20241223;EUR;011517;RYANAIR;IE00BYTBXV33;BYTBXV3;EUR;40;4050;405010;40501010;IE;;;RYA.I1;I1;;IE;IE;;;IE;{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'};;19.26;19.26;19.26;19.26;;1.0;False;0.499;0.1654589;0.668419;0.5;1085041693;10448951504;;0.0019383;0.0019868;32618488.9760985;30481059.8395968;38277284.8509417;35286788.229963794;40309511.671185605;37253563.5314471;38123114.31130011;35215537.955353;4295874870;Ryanair Holdings PLC;COM;Business Organization;4295874870;Ryanair Holdings PLC;COM;Business Organization;2KQK9YBD9;2024-12-23;1965;2024-12-05;011517;0.317668031851437;1;3.1479403016154532
20241223;20241223;EUR;049065;KERRY GRP;IE0004906560;4519579;EUR;45;4510;451020;45102020;IE;;;KYGa.I1;I1;;IE;IE;;;IE;{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'};;92.0;92.0;92.0;92.0;;1.0;False;1.0;0.0;1.0;0.8839;169659589;13796514186;;0.0025764;0.0025921;31818159.6429399;29775982.0079494;32275686.9078754;29782943.319619603;33730930.1263717;31211844.405535303;33704921.8376097;31158643.2714135;4295874927;Kerry Group PLC;COM;Business Organization;4295874927;Kerry Group PLC;COM;Business Organization;KWT9DJM17;2024-12-23;509;2024-12-05;049065;0.19374952164813;1;5.161303065388248
20241223;20241223;EUR;143451;COFINIMMO;BE0003593044;4177988;EUR;35;3510;351020;35102010;BE;;;COFB.BR1;BR1;;BE;BE;;;BE;{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'};;53.3;53.3;53.3;53.3;;1.0;False;1.0;0.0;1.0;1.0;38096217;2030528366;;0.000389;0.0003784;4316617.62035856;4046020.90702114;4051245.95393862;3741026.22033361;4454315.34850542;4122517.23277972;4778324.26456788;4416105.17870953;4295859240;Cofinimmo SA;CINV;Collective Investment;4295859240;Cofinimmo SA;CINV;Collective Investment;GUTRKARK0;2024-12-23;1061;2024-12-05;143451;0.233033981660585;1;4.291219644766248
20241223;20241223;EUR;400169;AGEAS;BE0974264930;B86S2N0;EUR;30;3030;303010;30301010;BE;;;AGES.BR1;BR1;;BE;BE;;;BE;{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'};;46.02;46.02;46.02;46.02;;1.0;False;1.0;0.0;1.0;0.9356;187971187;8093346074;;0.0015189;0.0015084;15113882.8456569;14185058.3794492;13726082.8899204;12694028.3869399;14719891.676456302;13632739.0305482;15363878.344318695;14207157.1732193;5000062813;Ageas SA;COM;Business Organization;5000062813;Ageas SA;COM;Business Organization;U7JPX9135;2024-12-23;221;2024-12-05;400169;0.168490788817275;1;5.935042544577796
20241223;20241223;EUR;400500;UMICORE;BE0974320526;BF44466;EUR;55;5520;552010;55201020;BE;;;UMI.BR1;BR1;;BE;BE;;;BE;{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'};;9.855;9.855;9.855;9.855;;1.0;False;1.0;0.0;1.0;0.7407;246400000;1798621070;;0.0003477;0.0003352;6179620.485023599;5789523.58600673;9365651.27470719;8585207.85390317;10643311.0179206;9805266.48975702;10505105.3984496;9677905.20192154;4295859347;Umicore SA;COM;Business Organization;4295859347;Umicore SA;COM;Business Organization;LF2KM2ZR3;2024-12-23;2197;2024-12-05;400500;0.368711506853711;1;2.7121475229596164
20241223;20241223;EUR;400609;AEGON;BMG0112X1056;BPH0Y27;EUR;30;3030;303010;30301010;NL;;;AEGN.AS1;AS1;;BM;NL;;;NL;;;5.6160000000000005;5.6160000000000005;5.6160000000000005;5.6160000000000005;;1.0;False;1.0;0.0;1.0;0.7703;1687766194;7301284657;;0.0013684;0.0014641;25578089.6314811;24005351.9101316;27541816.6653469;25398049.3966808;30470247.3618313;28180362.8262096;32408153.477249894;29940182.0198732;5086798177;Aegon Ltd;COM;Business Organization;5086798177;Aegon Ltd;COM;Business Organization;L6QPN1ZH9;2024-12-23;693;2024-12-05;400609;0.205184533759805;1;4.8736616823694385
20241223;20241223;EUR;401093;AHOLD DELHAIZE;NL0011794037;BD0Q398;EUR;45;4520;452010;45201010;NL;;;AD.AS1;AS1;;NL;NL;;;NL;{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'};;31.29;31.29;31.29;31.29;;1.0;False;1.0;0.0;1.0;1.0;929345662;29079225764;;0.0054237;0.0054634;63117051.250528894;59155364.770133495;63197638.3753276;58355773.184288;64084547.02851279;59297005.247047;62141770.320766896;57448460.2830028;4295884672;Koninklijke Ahold Delhaize NV;COM;Business Organization;4295884672;Koninklijke Ahold Delhaize NV;COM;Business Organization;CDCSZTGL1;2024-12-23;51;2024-12-05;401093;0.153347326576617;1;6.521144008991702
20241223;20241223;EUR;401140;AIR LIQUIDE;FR0000120073;B1YXBJ7;EUR;55;5520;552010;55201020;FR;;;AIRP.PA1;PA1;;FR;FR;;;FR;{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'};;155.38;155.38;155.38;155.38;;1.0;False;1.0;0.0;1.0;1.0;578254787;89849228804;;0.01671;0.0167424;110518214.69423;103666559.544581;104954734.414426;97049355.5355918;107600441.360341;99672294.9974779;108094498.40982;100003800.440634;4295867366;L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA;COM;Business Organization;4295867366;L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA;COM;Business Organization;37KS8BCR5;2024-12-23;301;2024-12-05;401140;0.177410445970927;1;5.636646672788784
