,reportDate,dj_id,icb_sectorl1,icb_sectorl3,vol,is_selected
1412,2019-03-04,406149,5000,5550,0.26059413521456,N
1772,2019-03-04,546078,9000,9570,0.293686440681598,N
1764,2019-03-04,B1VP0K,2000,2730,0.291049942127076,N
1756,2019-03-04,435413,9000,9530,0.290931409326698,N
1748,2019-03-04,B01MJR,4000,4530,0.290374595167865,N
1740,2019-03-04,470774,5000,5550,0.289539121256049,N
1732,2019-03-04,DE70FD,1000,1350,0.288154679022363,N
1724,2019-03-04,DE50B7,9000,9530,0.287961597126091,N
1716,2019-03-04,563828,3000,3570,0.287702890094305,N
1708,2019-03-04,457481,8000,8350,0.287619885301184,N
1700,2019-03-04,B05M8B,1000,1350,0.287268805081744,N
1692,2019-03-04,411376,2000,2350,0.28548252528331,N
1684,2019-03-04,469678,3000,3350,0.285442399221231,N
1676,2019-03-04,407026,8000,8350,0.28516038788684,N
1668,2019-03-04,576162,1000,1350,0.285101687563517,N
1660,2019-03-04,533004,9000,9530,0.28413455060114,N
1780,2019-03-04,458836,3000,3350,0.294720370639677,N
1652,2019-03-04,B1Y47Y,4000,4530,0.283267520341348,N
1788,2019-03-04,IT708Q,3000,3350,0.29505255173781,N
1804,2019-03-04,445776,1000,1770,0.295318476074833,N
1924,2019-03-04,471310,7000,7570,0.310378274474964,N
1916,2019-03-04,FR502D,2000,2790,0.309826691779135,N
1908,2019-03-04,479213,3000,3720,0.309661578228869,N
1900,2019-03-04,IT404J,8000,8350,0.308935171020968,N
1892,2019-03-04,FR705I,4000,4530,0.308614708575607,N
1884,2019-03-04,407683,8000,8350,0.308130029474374,N
1876,2019-03-04,IT002D,2000,2750,0.307191880470061,N
1868,2019-03-04,400500,1000,1350,0.30632067879826,N
1860,2019-03-04,753851,1000,1750,0.306062733950758,N
1852,2019-03-04,468382,3000,3350,0.305986805627548,N
1844,2019-03-04,B234WN,4000,4530,0.30575086369193,N
1836,2019-03-04,408530,4000,4570,0.305247878451755,N
1828,2019-03-04,582300,6000,6570,0.303375447553787,N
1820,2019-03-04,713666,5000,5550,0.301797419859757,N
1812,2019-03-04,DE7086,9000,9530,0.298300054959313,N
1796,2019-03-04,402400,3000,3740,0.295091104377185,N
1932,2019-03-04,437915,2000,2710,0.311051267204446,N
1644,2019-03-04,449123,2000,2350,0.282237955021766,N
1628,2019-03-04,IT102E,2000,2750,0.28096128281701,N
1468,2019-03-04,447723,5000,5330,0.265018758043432,N
1460,2019-03-04,505125,1000,1730,0.264235953543593,N
1452,2019-03-04,528983,8000,8350,0.263892288764525,N
1444,2019-03-04,001978,8000,8350,0.262825438306253,N
1436,2019-03-04,FR509K,8000,8770,0.261435952970374,N
1428,2019-03-04,464327,3000,3350,0.261231305326551,N
1420,2019-03-04,B0R7JF,4000,4570,0.260877963126542,N
1404,2019-03-04,FI3022,2000,2750,0.25999664154369,N
1396,2019-03-04,464731,5000,5550,0.25981386021497,N
1388,2019-03-04,DE7020,4000,4530,0.259719076575976,N
1380,2019-03-04,435435,1000,1350,0.258714214812788,N
1372,2019-03-04,471279,3000,3350,0.258593808483151,N
1364,2019-03-04,B0NJJ1,7000,7530,0.258060848159929,N
1356,2019-03-04,ES1029,8000,8350,0.257809293174281,N
1348,2019-03-04,B01SPF,4000,4570,0.256895487791684,N
1476,2019-03-04,IE102Z,3000,3570,0.265400858752371,N
1636,2019-03-04,EG7,3000,3350,0.280963729808173,N
1484,2019-03-04,705339,4000,4570,0.26549407487051,N
1500,2019-03-04,444747,2000,2720,0.266278337813176,N
1620,2019-03-04,465145,0001,530,0.279826185144158,N
1612,2019-03-04,417754,5000,5330,0.279483709898783,N
1604,2019-03-04,452518,2000,2750,0.279287482126053,N
1596,2019-03-04,473550,7000,7570,0.279187409914117,N
1588,2019-03-04,494340,1000,1750,0.27682215272167,N
1580,2019-03-04,445573,8000,8770,0.274274193097357,N
1572,2019-03-04,416343,9000,9530,0.273907985402746,N
1564,2019-03-04,EF031,2000,2790,0.273745426606055,N
1556,2019-03-04,403197,3000,3760,0.273133818590828,N
1548,2019-03-04,481830,5000,5750,0.273010960911666,N
1540,2019-03-04,571342,2000,2750,0.272841631985383,N
1532,2019-03-04,572670,3000,3760,0.270353028376805,N
1524,2019-03-04,B09DHL,2000,2710,0.269861788341043,N
1516,2019-03-04,424245,8000,8350,0.268972417641474,N
1508,2019-03-04,EE009,8000,8350,0.267592411957721,N
1492,2019-03-04,454005,3000,3760,0.265693858658624,N
1940,2019-03-04,007560,8000,8350,0.311427112632012,N
1948,2019-03-04,025881,5000,5750,0.312523969292638,N
1956,2019-03-04,DE6030,8000,8770,0.313000152852455,N
2388,2019-03-04,DE5084,2000,2750,0.388002468523314,N
2380,2019-03-04,433560,3000,3350,0.38775067435882,N
2372,2019-03-04,B00ZQQ,5000,5550,0.387084608691228,N
2364,2019-03-04,B1RR84,2000,2720,0.386912005481191,N
2356,2019-03-04,587183,3000,3740,0.382787594121813,N
2348,2019-03-04,458260,2000,2750,0.380294366863529,N
2340,2019-03-04,487416,0001,570,0.379899792295241,N
2332,2019-03-04,DE3060,2000,2750,0.37952070253472,N
2324,2019-03-04,DE401W,6000,6570,0.377475429578333,N
2316,2019-03-04,DE3093,4000,4570,0.377302005053759,N
2308,2019-03-04,506472,3000,3760,0.375714954116355,N
2300,2019-03-04,888051,9000,9570,0.37522084054,N
2292,2019-03-04,B0M7KJ,5000,5550,0.373285811306833,N
2284,2019-03-04,407205,8000,8350,0.369989610534674,N
2276,2019-03-04,419689,9000,9570,0.368573866737155,N
2396,2019-03-04,916775,0001,570,0.391649180421318,N
2268,2019-03-04,421342,8000,8350,0.367621076785212,N
2404,2019-03-04,NL606K,5000,5370,0.407836103946229,N
2420,2019-03-04,491603,5000,5750,0.424467325733313,N
2540,2019-03-04,DE5051,9000,9570,0.557604585210247,N
2532,2019-03-04,402186,9000,9530,0.546830991465658,N
2524,2019-03-04,DE3071,2000,2730,0.515243126048837,N
2516,2019-03-04,DE70A8,4000,4570,0.496230003523409,N
2508,2019-03-04,FR702F,9000,9530,0.480115156550561,N
2500,2019-03-04,775943,9000,9530,0.466142013037106,N
2492,2019-03-04,NL802I,2000,2790,0.461827480655875,N
2484,2019-03-04,492624,3000,3350,0.460291328509747,N
2476,2019-03-04,DE4061,5000,5370,0.450022317372404,N
2468,2019-03-04,BE8041,4000,4570,0.441343692316843,N
2460,2019-03-04,737826,8000,8350,0.436067748493412,N
2452,2019-03-04,440044,3000,3350,0.434333986881512,N
2444,2019-03-04,DE8054,9000,9530,0.432508917624175,N
2436,2019-03-04,476876,0001,570,0.427171050749283,N
2428,2019-03-04,477670,9000,9570,0.426115024327867,N
2412,2019-03-04,565478,9000,9530,0.416802409967014,N
2260,2019-03-04,435209,4000,4530,0.367192981624909,N
2252,2019-03-04,417841,5000,5330,0.366850841790306,N
2244,2019-03-04,DE50C8,1000,1350,0.365319537244276,N
2076,2019-03-04,548552,1000,1750,0.332651660609676,N
2068,2019-03-04,465940,6000,6530,0.331776867137269,N
2060,2019-03-04,470384,5000,5370,0.330571828636947,N
2052,2019-03-04,588950,9000,9570,0.328970835932139,N
2044,2019-03-04,DE50GC,3000,3350,0.328472696297472,N
2036,2019-03-04,512907,4000,4530,0.326563121881464,N
2028,2019-03-04,533458,2000,2710,0.326061639193863,N
2020,2019-03-04,466160,7000,7530,0.32598658940481,N
2012,2019-03-04,496960,2000,2350,0.325012800763329,N
2004,2019-03-04,866457,2000,2750,0.32199640369582,N
1996,2019-03-04,XXXXX3,0001,530,0.320299696633723,N
1988,2019-03-04,B0LKSK,5000,5550,0.319403546328562,N
1980,2019-03-04,IT509P,3000,3350,0.317754572747516,N
1972,2019-03-04,422060,3000,3350,0.315694886687596,N
1964,2019-03-04,709538,8000,8350,0.315539034271824,N
2084,2019-03-04,IT402H,3000,3760,0.333172543547817,N
2092,2019-03-04,453770,5000,5750,0.333784408458497,N
2100,2019-03-04,011517,5000,5750,0.334651691506189,N
2108,2019-03-04,507267,1000,1730,0.335187185737396,N
2236,2019-03-04,462220,4000,4570,0.36340069136234,N
2228,2019-03-04,FR103A,4000,4530,0.362845537527715,N
2220,2019-03-04,BE106W,4000,4570,0.361197491196164,N
2212,2019-03-04,NL603H,2000,2730,0.359441454616439,N
2204,2019-03-04,B1W4V6,2000,2730,0.356308282519335,N
2196,2019-03-04,462338,0001,580,0.35423657997738,N
2188,2019-03-04,DE7042,5000,5370,0.353886272788967,N
1340,2019-03-04,IT602J,8000,8570,0.256564022375085,N
2180,2019-03-04,555465,2000,2770,0.353500266214158,N
2164,2019-03-04,DE7053,5000,5330,0.352267085065453,N
2156,2019-03-04,529525,1000,1750,0.352187579053766,N
2148,2019-03-04,426724,8000,8350,0.342981579348052,N
2140,2019-03-04,525288,5000,5550,0.33963100033242,N
2132,2019-03-04,FR504F,2000,2790,0.339248082669207,N
2124,2019-03-04,489108,2000,2720,0.339109028623085,N
2116,2019-03-04,423244,8000,8350,0.337842198675844,N
2172,2019-03-04,B0704T,8000,8350,0.352438915892873,N
1332,2019-03-04,411515,2000,2350,0.256414097338939,N
1324,2019-03-04,401225,2000,2710,0.255266543272498,N
1316,2019-03-04,409590,3000,3720,0.254771764696636,N
153,2019-03-04,439155,8000,8770,0.160405199678742,Y
